,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,CC176SA5627,1,,
1,CC176SA5628,2,,
2,CC176SA5629,3,,
3,CC176SA5630,4,,
4,CC176SA5631,5,,
5,CC176SA5632,6,,
6,CC176SA5633,7,,
7,CC176SA5634,8,,
8,CC176SA5635,9,,
9,CC176SA5636,10,,
10,CC176SA5637,11,,
11,CC176SA5638,12,,
12,CC176SA5640,13,,
13,CC176SA5645,14,,
14,CC176SA5648,15,,
15,CC176SA5649,16,,
16,CC176SA5650,17,,
17,CC176SA5651,18,,
18,CC176SA5652,19,,
19,CC176SA5653,20,,
20,CC176SA5655,21,,
21,CC176SA5656,22,,
22,CC176SA5657,23,,
23,AGD102-129SA0001,0,,
24,AGD102-130SA0001,1,,
25,AGD102-132SA0001,2,,
26,AGD102-133SA0001,3,,
27,AGD102-133SA0002,4,,
28,AGD102-134SA0001,5,,
29,AGD102-135SA0001,6,,
30,AGD102-136SA0001,7,,
31,AGD102-137SA0001,8,,
32,AGD207-410SA0001,9,,
33,AGD207-410SA0002,10,,
34,AGD207-411SA0001,11,,
35,AGD207-411SA0002,12,,
36,AGD207-412SA0001,13,,
37,AGD207-412SA0003,14,,
38,AGD207-413SA0001,15,,
39,AGD207-414SA0001,16,,
40,AGD207-414SA0002,17,,
41,AGD207-414SA0003,18,,
42,AGD207-415SA0001,19,,
43,AGD207-415SA0002,20,,
44,AGD207-420SA0001,21,,
45,AGD207-420SA0002,22,,
46,AGD207-420SA0003,23,,
47,AGD207-427SA0001,24,,
48,AGD301-129SA0001,25,,
49,AGD301-130SA0001,26,,
50,AGD301-131SA0001,27,,
51,AGD301-132SA0001,28,,
52,AGD301-154SA0001,29,,
53,AGD301-157SA0001,30,,
54,AGD301-159SA0002,31,,
55,AGD301-171SA0001,32,,
56,AGD301-172SA0001,33,,
57,AGD301-173SA0001,34,,
58,AGD301-174SA0001,35,,
59,AGD301-175SA0001,36,,
60,AGD301-176SA0001,37,,
61,AGD301-177SA0001,38,,
62,AGD301-178SA0001,39,,
63,AGD301-179SA0001,40,,
64,AGD513-104SA0001,41,,
65,AGD513-105SA0001,42,,
66,AGD513-109SA0001,43,,
67,AGD513-112SA0001,44,,
68,AGD513-113SA0001,45,,
69,CA001SA0013,46,,
70,CA001SA0015,47,,
71,CA001SA0016,48,,
72,CA001SA0017,49,,
73,CA001SA0018,50,,
74,CA001SA0019,51,,
75,CA001SA0020,52,,
76,CA001SA0021,53,,
77,CA001SA0022,54,,
78,CA001SA0023,55,,
79,CA001SA0024,56,,
80,CA001SA0025,57,,
81,CA001SA0026,58,,
82,CA001SA0028,59,,
83,CA001SA0029,60,,
84,CA001SA0030,61,,
85,CA001SA0031,62,,
86,CA001SA0032,63,,
87,CA001SA0033,64,,
88,CA001SA0034,65,,
89,CA002SA0315,66,,
90,CA002SA0316,67,,
91,CA002SA0318,68,,
92,CA002SA0319,69,,
93,CA002SA0320,70,,
94,CA002SA0322,71,,
95,CA002SA0323,72,,
96,CA002SA0327,73,,
97,CA002SA0328,74,,
98,CA002SA0329,75,,
99,CA002SA0331,76,,
100,CA002SA0336,77,,
101,CA002SA0351,78,,
102,CA002SA0352,79,,
103,CA002SA0353,80,,
104,CA002SA0354,81,,
105,CA002SA0355,82,,
106,CA002SA0358,83,,
107,CA002SA0360,84,,
108,CA002SA0362,85,,
109,CA002SA0364,86,,
110,CA002SA0366,87,,
111,CA002SA0367,88,,
112,CA002SA0368,89,,
113,CA002SA0369,90,,
114,CA002SA0370,91,,
115,CA002SA0371,92,,
116,CA002SA0372,93,,
117,CA002SA0373,94,,
118,CA002SA0376,95,,
119,CA002SA0377,96,,
120,CA002SA0378,97,,
121,CA002SA0379,98,,
122,CA002SA0380,99,,
123,CA002SA0382,100,,
124,CA002SA0386,101,,
125,CA002SA0398,102,,
126,CA002SA0401,103,,
127,CA002SA0402,104,,
128,CA002SA0404,105,,
129,CA002SA0406,106,,
130,CA002SA0407,107,,
131,CA002SA0409,108,,
132,CA002SA0410,109,,
133,CA002SA0411,110,,
134,CA002SA0412,111,,
135,CA002SA0416,112,,
136,CA002SA0418,113,,
137,CA002SA0419,114,,
138,CA002SA0420,115,,
139,CA002SA0422,116,,
140,CA002SA0424,117,,
141,CA002SA0425,118,,
142,CA002SA0426,119,,
143,CA002SA0428,120,,
144,CA002SA0430,121,,
145,CA002SA0431,122,,
146,CA002SA0432,123,,
147,CA002SA0435,124,,
148,CA002SA0436,125,,
149,CA002SA0437,126,,
150,CA002SA0438,127,,
151,CA002SA0439,128,,
152,CA002SA0441,129,,
153,CA002SA0442,130,,
154,CA002SA0443,131,,
155,CA002SA0446,132,,
156,CA002SA0447,133,,
157,CA002SA0449,134,,
158,CA002SA0450,135,,
159,CA002SA0451,136,,
160,CA002SA0452,137,,
161,CA002SA0453,138,,
162,CA002SA0454,139,,
163,CA002SA0455,140,,
164,CA002SA0456,141,,
165,CA002SA0459,142,,
166,CA002SA0460,143,,
167,CA002SA0464,144,,
168,CA002SA0466,145,,
169,CA002SA0468,146,,
170,CA002SA0469,147,,
171,CA002SA0470,148,,
172,CA002SA0471,149,,
173,CA002SA0473,150,,
174,CA002SA0475,151,,
175,CA002SA0476,152,,
176,CA002SA0477,153,,
177,CA002SA0478,154,,
178,CA002SA0479,155,,
179,CA002SA0480,156,,
180,CA002SA0481,157,,
181,CA002SA0483,158,,
182,CA002SA0484,159,,
183,CA002SA0486,160,,
184,CA002SA0487,161,,
185,CA002SA0488,162,,
186,CA002SA0489,163,,
187,CA002SA0490,164,,
188,CA002SA0491,165,,
189,CA002SA0492,166,,
190,CA002SA0493,167,,
191,CA002SA0494,168,,
192,CA002SA0495,169,,
193,CA002SA0499,170,,
194,CA002SA0500,171,,
195,CA002SA0501,172,,
196,CA002SA0502,173,,
197,CA002SA0505,174,,
198,CA002SA0507,175,,
199,CA002SA0508,176,,
200,CA002SA0509,177,,
201,CA002SA0510,178,,
202,CA002SA0511,179,,
203,CA002SA0512,180,,
204,CA002SA0513,181,,
205,CA002SA0518,182,,
206,CA002SA0520,183,,
207,CA002SA0532,184,,
208,CA002SA0533,185,,
209,CA002SA0534,186,,
210,CA002SA0537,187,,
211,CA002SA0539,188,,
212,CA002SA0540,189,,
213,CA002SA0543,190,,
214,CA002SA0544,191,,
215,CA002SA0545,192,,
216,CA002SA0546,193,,
217,CA002SA0549,194,,
218,CA002SA0550,195,,
219,CA002SA0555,196,,
220,CA002SA0556,197,,
221,CA002SA0557,198,,
222,CA002SA0558,199,,
223,CA002SA0559,200,,
224,CA002SA0561,201,,
225,CA002SA0562,202,,
226,CA002SA0564,203,,
227,CA002SA0565,204,,
228,CA002SA0566,205,,
229,CA002SA0570,206,,
230,CA002SA0571,207,,
231,CA002SA0573,208,,
232,CA002SA0577,209,,
233,CA002SA0578,210,,
234,CA002SA0579,211,,
235,CA002SA0580,212,,
236,CA002SA0581,213,,
237,CA002SA0582,214,,
238,CA002SA0584,215,,
239,CA002SA0585,216,,
240,CA002SA0586,217,,
241,CA002SA0587,218,,
242,CA002SA0588,219,,
243,CA002SA0589,220,,
244,CA002SA0590,221,,
245,CA002SA0591,222,,
246,CA002SA0592,223,,
247,CA002SA0593,224,,
248,CA002SA0605,225,,
249,CA002SA0606,226,,
250,CA002SA0607,227,,
251,CA002SA0608,228,,
252,CA002SA0609,229,,
253,CA002SA0610,230,,
254,CA002SA0611,231,,
255,CA002SA0613,232,,
256,CA004SA0059,233,,
257,CA004SA0060,234,,
258,CA004SA0062,235,,
259,CA004SA0063,236,,
260,CA004SA0064,237,,
261,CA004SA0065,238,,
262,CA004SA0066,239,,
263,CA004SA0067,240,,
264,CA004SA0068,241,,
265,CA004SA0070,242,,
266,CA004SA0071,243,,
267,CA004SA0072,244,,
268,CA004SA0073,245,,
269,CA004SA0074,246,,
270,CA004SA0076,247,,
271,CA004SA0077,248,,
272,CA014SA0066,249,,
273,CA014SA0075,250,,
274,CA014SA0076,251,,
275,CA014SA0077,252,,
276,CA014SA0078,253,,
277,CA014SA0079,254,,
278,CA014SA0080,255,,
279,CA014SA0081,256,,
280,CA014SA0082,257,,
281,CA014SA0083,258,,
282,CA014SA0084,259,,
283,CA014SA0085,260,,
284,CA014SA0087,261,,
285,CA014SA0088,262,,
286,CA014SA0089,263,,
287,CA014SA0090,264,,
288,CA014SA0092,265,,
289,CA014SA0093,266,,
290,CA014SA0100,267,,
291,CA014SA0101,268,,
292,CA014SA0102,269,,
293,CA014SA0104,270,,
294,CA014SA0105,271,,
295,CA014SA0107,272,,
296,CA014SA0108,273,,
297,CA014SA0110,274,,
298,CA014SA0111,275,,
299,CA014SA0112,276,,
300,CA014SA0113,277,,
301,CA014SA0115,278,,
302,CA014SA0116,279,,
303,CA014SA0117,280,,
304,CA014SA0118,281,,
305,CA014SA0119,282,,
306,CA014SA0121,283,,
307,CA014SA0128,284,,
308,CA014SA0130,285,,
309,CA014SA0134,286,,
310,CA014SA0137,287,,
311,CA014SA0138,288,,
312,CA014SA0139,289,,
313,CA014SA0140,290,,
314,CA014SA0141,291,,
315,CA014SA0142,292,,
316,CA014SA0143,293,,
317,CA014SA0144,294,,
318,CA014SA0146,295,,
319,CA014SA0147,296,,
320,CA014SA0148,297,,
321,CA014SA0151,298,,
322,CA014SA0152,299,,
323,CA014SA0159,300,,
324,CA014SA0160,301,,
325,CA014SA0161,302,,
326,CA015SA0004,303,,
327,CA015SA0005,304,,
328,CA019SA0001,305,,
329,CA019SA0002,306,,
330,CA019SA0004,307,,
331,CA019SA0005,308,,
332,CA022SA0325,309,,
333,CA022SA0326,310,,
334,CA022SA0327,311,,
335,CA022SA0328,312,,
336,CA022SA0331,313,,
337,CA022SA0332,314,,
338,CA022SA0333,315,,
339,CA022SA0335,316,,
340,CA022SA0337,317,,
341,CA022SA0338,318,,
342,CA022SA0339,319,,
343,CA022SA0340,320,,
344,CA022SA0342,321,,
345,CA022SA0343,322,,
346,CA022SA0344,323,,
347,CA022SA0345,324,,
348,CA022SA0346,325,,
349,CA022SA0347,326,,
350,CA022SA0348,327,,
351,CA022SA0349,328,,
352,CA022SA0351,329,,
353,CA022SA0352,330,,
354,CA022SA0353,331,,
355,CA022SA0354,332,,
356,CA022SA0356,333,,
357,CA022SA0359,334,,
358,CA022SA0360,335,,
359,CA022SA0361,336,,
360,CA022SA0362,337,,
361,CA022SA0363,338,,
362,CA022SA0364,339,,
363,CA022SA0366,340,,
364,CA022SA0368,341,,
365,CA022SA0369,342,,
366,CA022SA0370,343,,
367,CA022SA0372,344,,
368,CA022SA0373,345,,
369,CA022SA0374,346,,
370,CA022SA0375,347,,
371,CA022SA0376,348,,
372,CA022SA0378,349,,
373,CA022SA0379,350,,
374,CA022SA0381,351,,
375,CA022SA0383,352,,
376,CA022SA0385,353,,
377,CA022SA0387,354,,
378,CA022SA0388,355,,
379,CA022SA0389,356,,
380,CA022SA0390,357,,
381,CA022SA0392,358,,
382,CA022SA0394,359,,
383,CA022SA0395,360,,
384,CA022SA0396,361,,
385,CA022SA0399,362,,
386,CA022SA0402,363,,
387,CA022SA0404,364,,
388,CA022SA0405,365,,
389,CA022SA0406,366,,
390,CA022SA0407,367,,
391,CA022SA0408,368,,
392,CA022SA0409,369,,
393,CA022SA0410,370,,
394,CA022SA0412,371,,
395,CA022SA0413,372,,
396,CA022SA0414,373,,
397,CA022SA0415,374,,
398,CA022SA0417,375,,
399,CA022SA0418,376,,
400,CA022SA0420,377,,
401,CA022SA0421,378,,
402,CA022SA0422,379,,
403,CA022SA0423,380,,
404,CA022SA0425,381,,
405,CA022SA0426,382,,
406,CA022SA0427,383,,
407,CA022SA0428,384,,
408,CA022SA0429,385,,
409,CA022SA0431,386,,
410,CA022SA0433,387,,
411,CA022SA0435,388,,
412,CA022SA0436,389,,
413,CA022SA0437,390,,
414,CA022SA0440,391,,
415,CA022SA0441,392,,
416,CA022SA0444,393,,
417,CA022SA0445,394,,
418,CA022SA0446,395,,
419,CA022SA0448,396,,
420,CA022SA0450,397,,
421,CA022SA0451,398,,
422,CA022SA0452,399,,
423,CA022SA0453,400,,
