,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,CC176SA5628,1,,
1,CC176SA5630,2,,
2,CC176SA5631,3,,
3,CC176SA5632,4,,
4,CC176SA5633,5,,
5,CC176SA5634,6,,
6,CC176SA5636,7,,
7,CC176SA5637,8,,
8,CC176SA5639,9,,
9,CC176SA5642,10,,
10,CC176SA5643,11,,
11,CC176SA5644,12,,
12,CC176SA5645,13,,
13,CC176SA5646,14,,
14,CC176SA5649,15,,
15,CC176SA5650,16,,
16,CC176SA5651,17,,
17,CC176SA5652,18,,
18,CC176SA5653,19,,
19,CC176SA5654,20,,
20,CC176SA5655,21,,
21,CC176SA5656,22,,
22,CC176SA5657,23,,
23,CA014SA0112,0,,
24,CA014SA0113,1,,
25,CA014SA0115,2,,
26,CA014SA0117,3,,
27,CA014SA0118,4,,
28,CA014SA0119,5,,
29,CA014SA0120,6,,
30,CA014SA0121,7,,
31,CA014SA0122,8,,
32,CA014SA0123,9,,
33,CA014SA0129,10,,
34,CA014SA0132,11,,
35,CA014SA0133,12,,
36,CA014SA0134,13,,
37,CA100SA0454,14,,
38,CA100SA0455,15,,
39,CA100SA0456,16,,
40,CA100SA0458,17,,
41,CA100SA0459,18,,
42,CA100SA0460,19,,
43,CA100SA0462,20,,
44,CA100SA0463,21,,
45,CA100SA0464,22,,
46,CA100SA0465,23,,
47,CA100SA0466,24,,
48,CA100SA0470,25,,
49,CA100SA0471,26,,
50,CA100SA0474,27,,
51,CA100SA0476,28,,
52,CA100SA0477,29,,
53,CA100SA0480,30,,
54,CA100SA0482,31,,
55,CA100SA0483,32,,
56,CA100SA0484,33,,
57,CA100SA0485,34,,
58,CA100SA0486,35,,
59,CA100SA0487,36,,
60,CA100SA0502,37,,
61,CA100SA0505,38,,
62,CA100SA0506,39,,
63,CA100SA0507,40,,
64,CA100SA0508,41,,
65,CA100SA0512,42,,
66,CA100SA0514,43,,
67,CA100SA0516,44,,
68,CA100SA0517,45,,
69,CA100SA0518,46,,
70,CA100SA0519,47,,
71,CA100SA0520,48,,
72,CA100SA0521,49,,
73,CA100SA0523,50,,
74,CA100SA0524,51,,
75,CA100SA0526,52,,
76,CA100SA0527,53,,
77,CA100SA0528,54,,
78,CA100SA0529,55,,
79,CA100SA0530,56,,
80,CA100SA0532,57,,
