,index,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1
0,CC176SA5627,1,,
1,CC176SA5628,2,,
2,CC176SA5629,3,,
3,CC176SA5630,4,,
4,CC176SA5633,5,,
5,CC176SA5634,6,,
6,CC176SA5636,7,,
7,CC176SA5637,8,,
8,CC176SA5639,9,,
9,CC176SA5640,10,,
10,CC176SA5642,11,,
11,CC176SA5643,12,,
12,CC176SA5644,13,,
13,CC176SA5645,14,,
14,CC176SA5646,15,,
15,CC176SA5647,16,,
16,CC176SA5648,17,,
17,CC176SA5650,18,,
18,CC176SA5653,19,,
19,CC176SA5654,20,,
20,CC176SA5655,21,,
21,CC176SA5656,22,,
22,CC176SA5657,23,,
23,AGD102-130SA0001,0,,
24,AGD301-172SA0001,1,,
25,CA001SA0013,2,,
26,CA001SA0014,3,,
27,CA001SA0015,4,,
28,CA001SA0016,5,,
29,CA001SA0017,6,,
30,CA001SA0018,7,,
31,CA001SA0019,8,,
32,CA001SA0020,9,,
33,CA001SA0021,10,,
34,CA001SA0023,11,,
35,CA001SA0025,12,,
36,CA001SA0027,13,,
37,CA001SA0028,14,,
38,CA001SA0030,15,,
39,CA001SA0031,16,,
40,CA001SA0032,17,,
41,CA001SA0033,18,,
42,CA001SA0034,19,,
43,CA002SA0315,20,,
44,CA002SA0318,21,,
45,CA002SA0320,22,,
46,CA002SA0323,23,,
47,CA002SA0324,24,,
48,CA002SA0326,25,,
49,CA002SA0327,26,,
50,CA002SA0328,27,,
51,CA002SA0329,28,,
52,CA002SA0336,29,,
53,CA002SA0351,30,,
54,CA002SA0352,31,,
55,CA002SA0356,32,,
56,CA002SA0358,33,,
57,CA002SA0359,34,,
58,CA002SA0360,35,,
59,CA002SA0361,36,,
60,CA002SA0364,37,,
61,CA002SA0367,38,,
62,CA002SA0370,39,,
63,CA002SA0371,40,,
64,CA002SA0372,41,,
65,CA002SA0373,42,,
66,CA002SA0374,43,,
67,CA002SA0375,44,,
68,CA002SA0376,45,,
69,CA002SA0377,46,,
70,CA002SA0378,47,,
71,CA002SA0379,48,,
72,CA002SA0380,49,,
73,CA002SA0381,50,,
74,CA002SA0382,51,,
75,CA002SA0383,52,,
76,CA002SA0384,53,,
77,CA002SA0386,54,,
78,CA002SA0398,55,,
79,CA002SA0400,56,,
80,CA002SA0401,57,,
81,CA002SA0402,58,,
82,CA002SA0404,59,,
83,CA002SA0407,60,,
84,CA002SA0409,61,,
85,CA002SA0410,62,,
86,CA002SA0412,63,,
87,CA002SA0413,64,,
88,CA002SA0414,65,,
89,CA002SA0415,66,,
90,CA002SA0416,67,,
91,CA002SA0417,68,,
92,CA002SA0418,69,,
93,CA002SA0419,70,,
94,CA002SA0420,71,,
95,CA002SA0421,72,,
96,CA002SA0424,73,,
97,CA002SA0425,74,,
98,CA002SA0426,75,,
99,CA002SA0427,76,,
100,CA002SA0429,77,,
101,CA002SA0430,78,,
102,CA002SA0431,79,,
103,CA002SA0435,80,,
104,CA002SA0436,81,,
105,CA002SA0437,82,,
106,CA002SA0438,83,,
107,CA002SA0439,84,,
108,CA002SA0441,85,,
109,CA002SA0443,86,,
110,CA002SA0444,87,,
111,CA002SA0446,88,,
112,CA002SA0447,89,,
113,CA002SA0450,90,,
114,CA002SA0451,91,,
115,CA002SA0452,92,,
116,CA002SA0453,93,,
117,CA002SA0455,94,,
118,CA002SA0456,95,,
119,CA002SA0459,96,,
120,CA002SA0460,97,,
121,CA002SA0462,98,,
122,CA002SA0463,99,,
123,CA002SA0464,100,,
124,CA002SA0465,101,,
125,CA002SA0466,102,,
126,CA002SA0467,103,,
127,CA002SA0468,104,,
128,CA002SA0469,105,,
129,CA002SA0470,106,,
130,CA002SA0471,107,,
131,CA002SA0474,108,,
132,CA002SA0475,109,,
133,CA002SA0476,110,,
134,CA002SA0477,111,,
135,CA002SA0479,112,,
136,CA002SA0481,113,,
137,CA002SA0484,114,,
138,CA002SA0486,115,,
139,CA002SA0487,116,,
140,CA002SA0489,117,,
141,CA002SA0490,118,,
142,CA002SA0491,119,,
143,CA002SA0494,120,,
144,CA002SA0495,121,,
145,CA002SA0499,122,,
146,CA002SA0500,123,,
147,CA002SA0501,124,,
148,CA002SA0502,125,,
149,CA002SA0503,126,,
150,CA002SA0504,127,,
151,CA002SA0505,128,,
152,CA002SA0506,129,,
153,CA002SA0507,130,,
154,CA002SA0510,131,,
155,CA002SA0511,132,,
156,CA002SA0512,133,,
157,CA002SA0513,134,,
158,CA002SA0518,135,,
159,CA002SA0519,136,,
160,CA002SA0520,137,,
161,CA002SA0533,138,,
162,CA002SA0534,139,,
163,CA002SA0537,140,,
164,CA002SA0538,141,,
165,CA002SA0539,142,,
166,CA002SA0540,143,,
167,CA002SA0541,144,,
168,CA002SA0542,145,,
169,CA002SA0543,146,,
170,CA002SA0544,147,,
171,CA002SA0545,148,,
172,CA002SA0546,149,,
173,CA002SA0547,150,,
174,CA002SA0548,151,,
175,CA002SA0550,152,,
176,CA002SA0552,153,,
177,CA002SA0553,154,,
178,CA002SA0554,155,,
179,CA002SA0555,156,,
180,CA002SA0557,157,,
181,CA002SA0558,158,,
182,CA002SA0559,159,,
183,CA002SA0561,160,,
184,CA002SA0562,161,,
185,CA002SA0564,162,,
186,CA002SA0565,163,,
187,CA002SA0566,164,,
188,CA002SA0567,165,,
189,CA002SA0570,166,,
190,CA002SA0572,167,,
191,CA002SA0573,168,,
192,CA002SA0574,169,,
193,CA002SA0576,170,,
194,CA002SA0578,171,,
195,CA002SA0579,172,,
196,CA002SA0580,173,,
197,CA002SA0581,174,,
198,CA002SA0582,175,,
199,CA002SA0583,176,,
200,CA002SA0584,177,,
201,CA002SA0585,178,,
202,CA002SA0586,179,,
203,CA002SA0587,180,,
204,CA002SA0588,181,,
205,CA002SA0589,182,,
206,CA002SA0591,183,,
207,CA002SA0593,184,,
208,CA002SA0604,185,,
209,CA002SA0605,186,,
210,CA002SA0607,187,,
211,CA002SA0608,188,,
212,CA002SA0609,189,,
213,CA002SA0610,190,,
214,CA002SA0611,191,,
215,CA002SA0612,192,,
216,CA002SA0613,193,,
217,CA004SA0059,194,,
218,CA004SA0061,195,,
219,CA004SA0062,196,,
220,CA004SA0063,197,,
221,CA004SA0065,198,,
222,CA004SA0067,199,,
223,CA004SA0070,200,,
224,CA004SA0072,201,,
225,CA004SA0073,202,,
226,CA004SA0074,203,,
227,CA004SA0075,204,,
228,CA004SA0077,205,,
229,CA014SA0065,206,,
230,CA014SA0066,207,,
231,CA014SA0075,208,,
232,CA014SA0076,209,,
233,CA014SA0077,210,,
234,CA014SA0078,211,,
235,CA014SA0079,212,,
236,CA014SA0082,213,,
237,CA014SA0083,214,,
238,CA014SA0085,215,,
239,CA014SA0087,216,,
240,CA014SA0089,217,,
241,CA014SA0090,218,,
242,CA014SA0092,219,,
243,CA014SA0093,220,,
244,CA014SA0095,221,,
245,CA014SA0100,222,,
246,CA014SA0101,223,,
247,CA014SA0102,224,,
248,CA014SA0104,225,,
249,CA014SA0106,226,,
250,CA014SA0107,227,,
251,CA014SA0108,228,,
252,CA014SA0110,229,,
253,CA014SA0111,230,,
254,CA014SA0112,231,,
255,CA014SA0113,232,,
256,CA014SA0115,233,,
257,CA014SA0116,234,,
258,CA014SA0117,235,,
259,CA014SA0118,236,,
260,CA014SA0119,237,,
261,CA014SA0121,238,,
262,CA014SA0122,239,,
263,CA014SA0123,240,,
264,CA014SA0129,241,,
265,CA014SA0130,242,,
266,CA014SA0132,243,,
267,CA014SA0133,244,,
268,CA014SA0134,245,,
269,CA014SA0137,246,,
270,CA014SA0138,247,,
271,CA014SA0139,248,,
272,CA014SA0140,249,,
273,CA014SA0141,250,,
274,CA014SA0142,251,,
275,CA014SA0144,252,,
276,CA014SA0145,253,,
277,CA014SA0148,254,,
278,CA014SA0149,255,,
279,CA014SA0151,256,,
280,CA014SA0153,257,,
281,CA014SA0161,258,,
282,CA019SA0001,259,,
283,CA019SA0002,260,,
284,CA022SA0325,261,,
285,CA022SA0326,262,,
286,CA022SA0327,263,,
287,CA022SA0328,264,,
288,CA022SA0329,265,,
289,CA022SA0330,266,,
290,CA022SA0331,267,,
291,CA022SA0332,268,,
292,CA022SA0333,269,,
293,CA022SA0335,270,,
294,CA022SA0337,271,,
295,CA022SA0340,272,,
296,CA022SA0341,273,,
297,CA022SA0343,274,,
298,CA022SA0344,275,,
299,CA022SA0345,276,,
300,CA022SA0346,277,,
301,CA022SA0347,278,,
302,CA022SA0348,279,,
303,CA022SA0351,280,,
304,CA022SA0353,281,,
305,CA022SA0354,282,,
306,CA022SA0355,283,,
307,CA022SA0357,284,,
308,CA022SA0359,285,,
309,CA022SA0360,286,,
310,CA022SA0361,287,,
311,CA022SA0363,288,,
312,CA022SA0364,289,,
313,CA022SA0366,290,,
314,CA022SA0367,291,,
315,CA022SA0370,292,,
316,CA022SA0372,293,,
317,CA022SA0373,294,,
318,CA022SA0374,295,,
319,CA022SA0375,296,,
320,CA022SA0376,297,,
321,CA022SA0378,298,,
322,CA022SA0379,299,,
323,CA022SA0381,300,,
324,CA022SA0382,301,,
325,CA022SA0383,302,,
326,CA022SA0384,303,,
327,CA022SA0385,304,,
328,CA022SA0386,305,,
329,CA022SA0387,306,,
330,CA022SA0388,307,,
331,CA022SA0390,308,,
332,CA022SA0391,309,,
333,CA022SA0392,310,,
334,CA022SA0393,311,,
335,CA022SA0394,312,,
336,CA022SA0396,313,,
337,CA022SA0397,314,,
338,CA022SA0399,315,,
339,CA022SA0401,316,,
340,CA022SA0403,317,,
341,CA022SA0404,318,,
342,CA022SA0406,319,,
343,CA022SA0407,320,,
344,CA022SA0409,321,,
345,CA022SA0410,322,,
346,CA022SA0412,323,,
347,CA022SA0413,324,,
348,CA022SA0414,325,,
349,CA022SA0416,326,,
350,CA022SA0418,327,,
351,CA022SA0421,328,,
352,CA022SA0422,329,,
353,CA022SA0423,330,,
354,CA022SA0424,331,,
355,CA022SA0425,332,,
356,CA022SA0426,333,,
357,CA022SA0427,334,,
358,CA022SA0428,335,,
359,CA022SA0429,336,,
360,CA022SA0430,337,,
361,CA022SA0431,338,,
362,CA022SA0432,339,,
363,CA022SA0433,340,,
364,CA022SA0435,341,,
365,CA022SA0436,342,,
366,CA022SA0437,343,,
367,CA022SA0438,344,,
368,CA022SA0440,345,,
369,CA022SA0441,346,,
370,CA022SA0442,347,,
371,CA022SA0443,348,,
372,CA022SA0444,349,,
373,CA022SA0445,350,,
374,CA022SA0446,351,,
375,CA022SA0448,352,,
376,CA022SA0449,353,,
377,CA022SA0451,354,,
378,CA022SA0452,355,,
379,CA022SA0453,356,,
380,CA022SA0454,357,,
381,CA022SA0457,358,,
382,CA022SA0460,359,,
383,CA022SA0461,360,,
384,CA022SA0463,361,,
385,CA022SA0464,362,,
386,CA022SA0466,363,,
387,CA022SA0468,364,,
388,CA022SA0469,365,,
389,CA022SA0470,366,,
390,CA022SA0472,367,,
391,CA022SA0473,368,,
392,CA022SA0474,369,,
393,CA022SA0475,370,,
394,CA022SA0476,371,,
395,CA022SA0477,372,,
396,CA022SA0478,373,,
397,CA022SA0479,374,,
398,CA022SA0480,375,,
399,CA022SA0481,376,,
400,CA022SA0482,377,,
401,CA022SA0483,378,,
402,CA022SA0485,379,,
403,CA022SA0486,380,,
404,CA022SA0488,381,,
405,CA022SA0489,382,,
406,CA022SA0490,383,,
407,CA022SA0491,384,,
408,CA022SA0492,385,,
409,CA022SA0495,386,,
410,CA022SA0496,387,,
411,CA022SA0497,388,,
412,CA022SA0498,389,,
413,CA022SA0500,390,,
414,CA022SA0501,391,,
415,CA022SA0507,392,,
416,CA022SA0508,393,,
417,CA022SA0510,394,,
418,CA022SA0511,395,,
419,CA022SA0512,396,,
420,CA022SA0513,397,,
421,CA022SA0514,398,,
422,CA022SA0515,399,,
423,CA022SA0517,400,,
424,CA022SA0518,401,,
425,CA022SA0520,402,,
426,CA022SA0521,403,,
427,CA022SA0522,404,,
428,CA022SA0523,405,,
429,CA022SA0524,406,,
430,CA022SA0525,407,,
431,CA022SA0529,408,,
432,CA022SA0530,409,,
