"","x"
"1","CA002SA0370"
"2","CA002SA0371"
"3","CA002SA0372"
"4","CA002SA0373"
"5","CA014SA0081"
"6","CA014SA0087"
"7","CA022SA0328"
"8","CA022SA0330"
"9","CA022SA0337"
"10","CA022SA0339"
"11","CA022SA0357"
"12","CA022SA0364"
"13","CA028SA0118"
"14","CA028SA0122"
"15","CA028SA0127"
"16","CA028SA0128"
"17","CA028SA0133"
"18","CA028SA0233"
"19","CA028SA0280"
"20","CA028SA0299"
"21","CA035SA0095"
"22","CA035SA0135"
"23","CA035SA0137"
"24","CA035SA0138"
"25","CA052SA0353"
"26","CA052SA0361"
"27","CA052SA0373"
"28","CA053SA0043"
"29","CA053SA0063"
"30","CA053SA0078"
"31","CA053SA0093"
"32","CA053SA0100"
"33","CA053SA0181"
"34","CA053SA0196"
"35","CA053SA0203"
"36","CA053SA0389"
"37","CA053SA0405"
"38","CA053SA0488"
"39","CA053SA0492"
"40","CA100SA0276"
"41","CA100SA0502"
"42","CA100SA0503"
"43","CA100SA0505"
"44","CA100SA0506"
"45","CA100SA0510"
"46","CA100SA0512"
"47","CA100SA0514"
"48","CA100SA0516"
"49","CA100SA0517"
"50","CA100SA0518"
"51","CA100SA0519"
"52","CA100SA0520"
"53","CA100SA0521"
"54","CA100SA0523"
"55","CA100SA0524"
"56","CA100SA0526"
"57","CA100SA0528"
"58","CA100SA0529"
"59","CA100SA0533"
"60","CA108SA0022"
"61","CA108SA0023"
"62","CA108SA0037"
"63","CA108SA0038"
"64","CA108SA0040"
"65","CA108SA0042"
"66","CA108SA0052"
"67","CA108SA0053"
"68","CA108SA0054"
"69","CA108SA0056"
"70","CA108SA0057"
"71","CA108SA0089"
"72","CA118SA0891"
"73","CA118SA1030"
"74","CA118SA1044"
"75","CA118SA1052"
"76","CA150SA0023"
"77","CA150SA0025"
"78","CA150SA0030"
"79","CA150SA0031"
"80","CA150SA0033"
"81","CA150SA0034"
"82","CA150SA0044"
"83","CA150SA0045"
"84","CA155SA0001"
"85","CA162SA0087"
"86","CA162SA0115"
"87","CA211SA0001"
"88","CA211SA0003"
"89","CA211SA0004"
