"","x"
"1","CA002SA0324"
"2","CA002SA0373"
"3","CA002SA0379"
"4","CA002SA0427"
"5","CA002SA0441"
"6","CA002SA0442"
"7","CA002SA0446"
"8","CA002SA0466"
"9","CA002SA0481"
"10","CA002SA0483"
"11","CA002SA0492"
"12","CA002SA0494"
"13","CA002SA0565"
"14","CA002SA0566"
"15","CA002SA0567"
"16","CA002SA0568"
"17","CA002SA0587"
"18","CA002SA0588"
"19","CA002SA0592"
"20","CA014SA0138"
"21","CA014SA0149"
"22","CA022SA0326"
"23","CA022SA0328"
"24","CA022SA0337"
"25","CA022SA0339"
"26","CA022SA0342"
"27","CA022SA0343"
"28","CA022SA0349"
"29","CA022SA0361"
"30","CA028SA0127"
"31","CA028SA0166"
"32","CA028SA0206"
"33","CA028SA0207"
"34","CA028SA0210"
"35","CA028SA0211"
"36","CA028SA0212"
"37","CA028SA0213"
"38","CA028SA0214"
"39","CA028SA0215"
"40","CA028SA0217"
"41","CA028SA0220"
"42","CA028SA0221"
"43","CA028SA0223"
"44","CA028SA0224"
"45","CA035SA0060"
"46","CA035SA0061"
"47","CA035SA0063"
"48","CA035SA0064"
"49","CA035SA0066"
"50","CA035SA0075"
"51","CA035SA0119"
"52","CA035SA0126"
"53","CA035SA0133"
"54","CA035SA0135"
"55","CA035SA0137"
"56","CA096SA0008"
"57","CA100SA0454"
"58","CA100SA0455"
"59","CA100SA0456"
"60","CA100SA0459"
"61","CA100SA0460"
"62","CA100SA0461"
"63","CA100SA0462"
"64","CA100SA0463"
"65","CA100SA0464"
"66","CA100SA0465"
"67","CA100SA0466"
"68","CA100SA0470"
"69","CA100SA0471"
"70","CA100SA0473"
"71","CA100SA0474"
"72","CA100SA0477"
"73","CA100SA0482"
"74","CA100SA0483"
"75","CA100SA0484"
"76","CA100SA0485"
"77","CA100SA0486"
"78","CA100SA0487"
"79","CA100SA0502"
"80","CA100SA0505"
"81","CA100SA0506"
"82","CA100SA0507"
"83","CA100SA0508"
"84","CA100SA0510"
"85","CA100SA0511"
"86","CA100SA0514"
"87","CA100SA0517"
"88","CA100SA0518"
"89","CA100SA0520"
"90","CA100SA0521"
"91","CA100SA0522"
"92","CA100SA0523"
"93","CA100SA0524"
"94","CA100SA0526"
"95","CA100SA0527"
"96","CA100SA0528"
"97","CA100SA0529"
"98","CA100SA0530"
"99","CA100SA0531"
"100","CA100SA0532"
"101","CA100SA0533"
"102","CA118SA0922"
"103","CA130SA0238"
"104","CA150SA0011"
"105","CA150SA0012"
"106","CA150SA0018"
"107","CA150SA0022"
"108","CA150SA0023"
"109","CA150SA0031"
"110","CA150SA0032"
"111","CA150SA0033"
"112","CA150SA0034"
"113","CA150SA0044"
"114","CA150SA0045"
"115","CA150SA0046"
"116","CA214SA0002"
"117","CA216SA0006"
"118","CA231SA0002"
"119","CA256SA0001"
"120","CA258SA0001"
"121","CA258SA0007"
"122","CA258SA0016"
"123","CA258SA0017"
"124","CA258SA0018"
"125","CA258SA0019"
"126","CA258SA0020"
"127","CA258SA0021"
