"","x"
"1","CA002SA0371"
"2","CA002SA0372"
"3","CA002SA0471"
"4","CA014SA0081"
"5","CA014SA0085"
"6","CA014SA0087"
"7","CA022SA0328"
"8","CA022SA0330"
"9","CA022SA0337"
"10","CA022SA0339"
"11","CA022SA0357"
"12","CA028SA0118"
"13","CA028SA0122"
"14","CA028SA0127"
"15","CA028SA0133"
"16","CA028SA0280"
"17","CA035SA0095"
"18","CA052SA0353"
"19","CA052SA0361"
"20","CA052SA0373"
"21","CA053SA0043"
"22","CA053SA0078"
"23","CA053SA0196"
"24","CA053SA0203"
"25","CA053SA0389"
"26","CA053SA0405"
"27","CA053SA0488"
"28","CA053SA0492"
"29","CA100SA0276"
"30","CA100SA0510"
"31","CA100SA0523"
"32","CA100SA0527"
"33","CA118SA0891"
"34","CA118SA1030"
"35","CA118SA1044"
"36","CA155SA0001"
"37","CA162SA0087"
"38","CA162SA0115"
"39","CA166SA0002"
"40","CA266SA0322"
"41","CA286SA0013"
"42","CA286SA0017"
"43","CA286SA0029"
"44","CA286SA0032"
"45","CA286SA0035"
"46","CA286SA0040"
"47","CA286SA0043"
"48","CA286SA0048"
"49","CA286SA0052"
"50","CA289SA0001"
"51","CA304SA0001"
"52","CA310SA0005"
"53","CA310SA0011"
"54","CA319SA0001"
"55","CA330SA0043"
"56","CA330SA0050"
"57","CA330SA0051"
"58","CA330SA0052"
"59","CA330SA0063"
"60","CA330SA0064"
"61","CA330SA0078"
"62","CA330SA0082"
"63","CA330SA0091"
"64","CA330SA0095"
"65","CA330SA0116"
"66","CA330SA0128"
"67","CA330SA0129"
"68","CA330SA0153"
"69","CA330SA0156"
"70","CA330SA0157"
"71","CA330SA0161"
"72","CA330SA0166"
"73","CA330SA0169"
"74","CA330SA0170"
"75","CA330SA0172"
"76","CA330SA0188"
"77","CA330SA0189"
"78","CA330SA0190"
"79","CA330SA0193"
"80","CA330SA0199"
"81","CA330SA0205"
"82","CA330SA0206"
"83","CA330SA0211"
"84","CA330SA0216"
"85","CA330SA0219"
"86","CA330SA0221"
"87","CA330SA0223"
"88","CA330SA0225"
"89","CA330SA0241"
"90","CA330SA0254"
"91","CA330SA0266"
"92","CA330SA0268"
"93","CA330SA0270"
"94","CA330SA0284"
"95","CA330SA0288"
"96","CA330SA0296"
"97","CA330SA0304"
"98","CA330SA0311"
"99","CA330SA0312"
"100","CA330SA0353"
"101","CA330SA0354"
"102","CA330SA0356"
"103","CA330SA0357"
"104","CA330SA0358"
"105","CA330SA0359"
"106","CA330SA0360"
"107","CA330SA0400"
"108","CA330SA0401"
"109","CA330SA0402"
"110","CA330SA0403"
"111","CA330SA0404"
"112","CA330SA0406"
"113","CA330SA0407"
"114","CA330SA0422"
"115","CA330SA0423"
"116","CA330SA0425"
"117","CA330SA0426"
"118","CA330SA0428"
"119","CA330SA0430"
"120","CA330SA0500"
"121","CA330SA0505"
"122","CA330SA0507"
"123","CA330SA0515"
"124","CA330SA0530"
"125","CA330SA0591"
"126","CA330SA0594"
"127","CA330SA0595"
"128","CA330SA0597"
"129","CA330SA0598"
"130","CA330SA0599"
"131","CA330SA0641"
"132","CA330SA0645"
"133","CA330SA0646"
"134","CA330SA0647"
"135","CA330SA0649"
"136","CA330SA0716"
"137","CA330SA0717"
"138","CA330SA0718"
"139","CA330SA0720"
"140","CA330SA0723"
"141","CA330SA0724"
"142","CA330SA0802"
"143","CA330SA0804"
"144","CA330SA0805"
"145","CA330SA0806"
"146","CA330SA0807"
"147","CA330SA0809"
"148","CA330SA1101"
"149","CA330SA1102"
"150","CA330SA1103"
"151","CA330SA1104"
"152","CA330SA1105"
"153","CA330SA1107"
"154","CA330SA1109"
"155","CA330SA1643"
"156","CA330SA1655"
"157","CA330SA1678"
"158","CA330SA1698"
"159","CA330SA1702"
"160","CA330SA1718"
"161","CA330SA1727"
"162","CA330SA1736"
"163","CA330SA1752"
"164","CA330SA1775"
"165","CA330SA1787"
"166","CA330SA1793"
"167","CA330SA1806"
"168","CA330SA1818"
"169","CA330SA1838"
"170","CA330SA1864"
"171","CA330SA1903"
"172","CA330SA1946"
"173","CA330SA1972"
"174","CA330SA1983"
"175","CA330SA2017"
"176","CA330SA2029"
"177","CA330SA2031"
"178","CA330SA2042"
"179","CA330SA2056"
"180","CA330SA2073"
"181","CA330SA2098"
"182","CA330SA2130"
